stop_id,stop_name,stop_lat,stop_lon,stop_code,location_type,parent_station,stop_short_name
102046,Eastbound Mt Newton Cross at Central Saanich,48.59405999551319,-123.402915000606,102046,0,,Eastbound Mt Newton Cross at Central Saanich
102047,Southbound Wallace at Prosser,48.589108995953794,-123.421851000345,102047,0,,Southbound Wallace at Prosser
102048,McTavish Exchange Bay A,48.6290459959803,-123.411606999379,102048,0,800005,McTavish Exchange Bay A
102049,Westbound Mt Newton Cross at Central Saanich,48.594192995458,-123.40400300061401,102049,0,,Westbound Mt Newton Cross at Central Saanich
102050,Eastbound 2170 block Mt Newton Cross,48.5940589952507,-123.409470000465,102050,0,,Eastbound 2170 block Mt Newton Cross
102051,Southbound Lochside at Mt Newton Cross,48.59453799561479,-123.394743999587,102051,0,,Southbound Lochside at Mt Newton Cross
102052,Northbound Wallace at Cultra,48.5927069959235,-123.421353999635,102052,0,,Northbound Wallace at Cultra
102053,Westbound 5150 block Sooke,48.3950839953944,-123.633085000608,102053,0,,Westbound 5150 block Sooke
102054,Saanichton Exchange Bay A,48.5935809957159,-123.416852999693,102054,0,800012,Saanichton Exchange Bay A
102055,Westbound 2150 block Mt Newton Cross,48.5941869956872,-123.41042600003401,102055,0,,Westbound 2150 block Mt Newton Cross
102056,Northbound 1890 block Gillespie,48.3916409953998,-123.63152000026301,102056,0,,Northbound 1890 block Gillespie
102057,Saanichton Exchange Bay B,48.593673995290395,-123.417040999467,102057,0,800012,Saanichton Exchange Bay B
102058,Northbound Lochside at Ferguson,48.5956169953463,-123.394557000635,102058,0,,Northbound Lochside at Ferguson
102059,Southbound 1890 block Gillespie,48.3915609954994,-123.63168399974,102059,0,,Southbound 1890 block Gillespie
102060,Saanichton Exchange Bay C,48.5941289955721,-123.416381000439,102060,0,800012,Saanichton Exchange Bay C
102061,Northbound 1590 block Gillespie,48.384030995203794,-123.629742000646,102061,0,,Northbound 1590 block Gillespie
102062,Saanichton Exchange Bay D,48.5942419951533,-123.416305000275,102062,0,800012,Saanichton Exchange Bay D
102063,Southbound 1610 block Gillespie,48.3844629956432,-123.630197000478,102063,0,,Southbound 1610 block Gillespie
102064,Southbound 2430 block Driftwood,48.3961459952224,-123.72206900026501,102064,0,,Southbound 2430 block Driftwood
102065,Eastbound Wallace at Mt Newton Cross,48.594435995869,-123.41963100021,102065,0,,Eastbound Wallace at Mt Newton Cross
102066,Southbound Wallace at Lisnoe,48.5940179956794,-123.420538000232,102066,0,,Southbound Wallace at Lisnoe
102067,Peninsula Hospital Main,48.5960219953733,-123.410314000184,102067,0,,Peninsula Hospital Main
102069,Northbound Sooke at Glinz Lake,48.393429995374,-123.63642099972101,102069,0,,Northbound Sooke at Glinz Lake
102070,Southbound Lochside at James Island,48.59873699534489,-123.394766999543,102070,0,,Southbound Lochside at James Island
102071,Northbound East Saanich at Patterson,48.59658999569889,-123.41675799964801,102071,0,,Northbound East Saanich at Patterson
102072,Southbound East Saanich at Polo Park,48.59675299548349,-123.41695800003401,102072,0,,Southbound East Saanich at Polo Park
102073,Southbound Sooke at Polymede,48.3934179953708,-123.636635000334,102073,0,,Southbound Sooke at Polymede
102074,Northbound Lochside at James Island,48.599195995557196,-123.39460400031601,102074,0,,Northbound Lochside at James Island
102075,Southbound Lochside at Wakeman,48.600382901117,-123.39571644549801,102075,0,,Southbound Lochside at Wakeman
102076,Northbound 1300 block Gillespie,48.3723851851559,-123.63267909809801,102076,0,,Northbound 1300 block Gillespie
102077,Northbound Lochside at Wakeman,48.6006289952501,-123.39571400045301,102077,0,,Northbound Lochside at Wakeman
102078,Southbound 1260 block Gillespie,48.3705269954863,-123.633202999925,102078,0,,Southbound 1260 block Gillespie
102079,Southbound East Saanich at Polo Park,48.599489995501,-123.41690600029101,102079,0,,Southbound East Saanich at Polo Park
102080,Eastbound 8020 block East Saanich,48.6001856968727,-123.41669467688901,102080,0,,Eastbound 8020 block East Saanich
102081,Southbound 5260 block Sooke,48.3886049954347,-123.64372699971601,102081,0,,Southbound 5260 block Sooke
102082,Southbound Lochside at Newman,48.6038209952581,-123.396185999656,102082,0,,Southbound Lochside at Newman
102083,Southbound 5320 block Sooke,48.3876399951381,-123.647793000524,102083,0,,Southbound 5320 block Sooke
102084,Northbound 8170 block Lochside,48.604061995794794,-123.39597199977702,102084,0,,Northbound 8170 block Lochside
102085,Northbound 5330 block Sooke,48.3883149953527,-123.64844100057901,102085,0,,Northbound 5330 block Sooke
102086,Northbound East Saanich at Newman,48.6026029958212,-123.417105999323,102086,0,,Northbound East Saanich at Newman
102087,Southbound East Saanich at Newman,48.6024949958193,-123.41728899977201,102087,0,,Southbound East Saanich at Newman
102088,Eastbound Gillespie at Mt Matheson,48.358689995598695,-123.63377499973501,102088,0,,Eastbound Gillespie at Mt Matheson
102089,Southbound Lochside at Cascade,48.6064124522037,-123.396507581764,102089,0,,Southbound Lochside at Cascade
102090,Westbound 1000 block Gillespie,48.35802605774101,-123.635788387669,102090,0,,Westbound 1000 block Gillespie
102091,Northbound Lochside at Cascade,48.60661099550109,-123.396423000366,102091,0,,Northbound Lochside at Cascade
102092,Southbound 5370 block Sooke,48.390556995271496,-123.651301999794,102092,0,,Southbound 5370 block Sooke
102093,Northbound 5380 block Sooke,48.3908059952837,-123.651145000376,102093,0,,Northbound 5380 block Sooke
102094,Southbound East Saanich at Haldon,48.6065899954064,-123.419101000146,102094,0,,Southbound East Saanich at Haldon
102095,Northbound Sunriver at Riverstone,48.397049995940094,-123.72117700021401,102095,0,,Northbound Sunriver at Riverstone
102096,Northbound East Saanich at Haldon,48.60678999562101,-123.41907299990301,102096,0,,Northbound East Saanich at Haldon
102097,Westbound 5460 block Sooke,48.3948309955248,-123.65512399983001,102097,0,,Westbound 5460 block Sooke
102098,Southbound West Saanich at Mt Newton Cross,48.5990369959585,-123.46587599967201,102098,0,,Southbound West Saanich at Mt Newton Cross
102099,Northbound West Saanich at Mt Newton Cross,48.599546995428,-123.466012000014,102099,0,,Northbound West Saanich at Mt Newton Cross
102100,Southbound 8380 block Lochside,48.610086110142895,-123.39925108948901,102100,0,,Southbound 8380 block Lochside
102101,Northbound 8390 block Lochside,48.6103889956911,-123.399290000228,102101,0,,Northbound 8390 block Lochside
102102,Westbound Sooke at Ludlow,48.3941889959075,-123.65795799978102,102102,0,,Westbound Sooke at Ludlow
102103,Eastbound 5460 block Sooke,48.3946699951214,-123.655591999767,102103,0,,Eastbound 5460 block Sooke
102104,Northbound E Sooke Rd at Gillespie,48.3544479951204,-123.64246099956601,102104,0,,Northbound E Sooke Rd at Gillespie
102105,Westbound Sooke at Laidlaw,48.393016995431395,-123.66118299947901,102105,0,,Westbound Sooke at Laidlaw
102106,Eastbound Sooke at Ludlow,48.394037995419005,-123.65799799950702,102106,0,,Eastbound Sooke at Ludlow
102107,Eastbound E Sooke Rd at Gillespie,48.3543559958559,-123.64261800008501,102107,0,,Eastbound E Sooke Rd at Gillespie
102108,Northbound Lochside at Wardle,48.614339995952,-123.401274000649,102108,0,,Northbound Lochside at Wardle
102109,Eastbound Sooke at Laidlaw,48.392995995215,-123.66086499981401,102109,0,,Eastbound Sooke at Laidlaw
102110,Southbound Lochside at Wardle,48.6142599956981,-123.40141999958502,102110,0,,Southbound Lochside at Wardle
102112,Southbound East Saanich at Barrett,48.613477995317695,-123.416135000344,102112,0,,Southbound East Saanich at Barrett
102113,Northbound East Saanich at Barrett,48.613663995371496,-123.41590600016,102113,0,,Northbound East Saanich at Barrett
102116,Eastbound E Sooke Rd at Boardman,48.358002995128004,-123.64652799952201,102116,0,,Eastbound E Sooke Rd at Boardman
102117,Westbound E Sooke Rd at Boardman,48.3586189954158,-123.648585999431,102117,0,,Westbound E Sooke Rd at Boardman
102118,Southbound West Saanich at McPhail,48.604460995964395,-123.47182700021901,102118,0,,Southbound West Saanich at McPhail
102121,Northbound West Saanich at McPhail,48.605250995496796,-123.472371999824,102121,0,,Northbound West Saanich at McPhail
102127,Eastbound Sooke at Harbourview,48.3910629952047,-123.66694399962802,102127,0,,Eastbound Sooke at Harbourview
102130,Southbound Lochside at Lowe,48.6183209960168,-123.40459199977401,102130,0,,Southbound Lochside at Lowe
102131,Westbound Sooke at Harbourview,48.391197852112,-123.666960367216,102131,0,,Westbound Sooke at Harbourview
102132,Westbound Latoria at Ryder Hesjedal,48.407326803943,-123.49147799053101,102132,0,,Westbound Latoria at Ryder Hesjedal
102133,Eastbound E Sooke at Parkheights,48.35825499552139,-123.655861999445,102133,0,,Eastbound E Sooke at Parkheights
102134,Westbound E Sooke Rd at Parkheights,48.358380995209096,-123.655951000659,102134,0,,Westbound E Sooke Rd at Parkheights
102135,Southbound East Saanich at Dean Park,48.6179549951518,-123.41664000009,102135,0,,Southbound East Saanich at Dean Park
102136,Northbound East Saanich at Lowe,48.6183399956456,-123.41643799939601,102136,0,,Northbound East Saanich at Lowe
102137,Northbound Lochside at Lowe,48.618383995371005,-123.40441300008501,102137,0,,Northbound Lochside at Lowe
102140,Northbound West Saanich at Lawrence,48.609708995445196,-123.474121000066,102140,0,,Northbound West Saanich at Lawrence
102143,Southbound 8800 block East Saanich,48.6209349955649,-123.41764199993601,102143,0,,Southbound 8800 block East Saanich
102144,Northbound 8800 block East Saanich,48.6207399956925,-123.41737100023401,102144,0,,Northbound 8800 block East Saanich
102145,Northbound 5900 block E Sooke Rd,48.359902566409296,-123.66085834214701,102145,0,,Northbound 5900 block E Sooke Rd
102146,Eastbound 5890 block E Sooke Rd,48.3596366187877,-123.660709243823,102146,0,,Eastbound 5890 block E Sooke Rd
102147,Westbound Sooke at Saseenos,48.3910715250478,-123.67058773347901,102147,0,,Westbound Sooke at Saseenos
102148,Southbound West Saanich at Lawrence,48.6108629953553,-123.47381199939902,102148,0,,Southbound West Saanich at Lawrence
102150,Eastbound Sooke at Saseenos,48.390843995133096,-123.67194300021501,102150,0,,Eastbound Sooke at Saseenos
102152,Northbound 8890 block Lochside,48.6235849956094,-123.40798300043902,102152,0,,Northbound 8890 block Lochside
102153,Southbound 8880 block Lochside,48.62355099600529,-123.408148999394,102153,0,,Southbound 8880 block Lochside
102154,Westbound Sooke at Woodlands,48.3907409956872,-123.67677099971901,102154,0,,Westbound Sooke at Woodlands
102157,Eastbound Sooke at Woodlands,48.390510995651496,-123.677110999619,102157,0,,Eastbound Sooke at Woodlands
102158,Southbound East Saanich at Bazan Bay,48.6247719957157,-123.41879799985,102158,0,,Southbound East Saanich at Bazan Bay
102160,Northbound East Saanich at Forest Park,48.6256539952093,-123.41921299954501,102160,0,,Northbound East Saanich at Forest Park
102164,Southbound 8740 block West Saanich,48.6198969956626,-123.46613800005902,102164,0,,Southbound 8740 block West Saanich
102165,Northbound West Saanich at Theh Le Lum,48.620572995686594,-123.46525599937301,102165,0,,Northbound West Saanich at Theh Le Lum
102166,Eastbound E Sooke Rd at Raglan,48.3641239959409,-123.673801000413,102166,0,,Eastbound E Sooke Rd at Raglan
102167,Westbound E Sooke Rd at Raglan,48.364445116536395,-123.674313788471,102167,0,,Westbound E Sooke Rd at Raglan
102168,Westbound 5940 block Sooke,48.3890539959168,-123.68274900000502,102168,0,,Westbound 5940 block Sooke
102169,Southbound West Saanich at Theh Le Lum,48.621587995143095,-123.46455899977,102169,0,,Southbound West Saanich at Theh Le Lum
102170,Eastbound 5920 block Sooke,48.38930799571529,-123.681968999465,102170,0,,Eastbound 5920 block Sooke
102176,Southbound East Saanich at McTavish,48.629505995499,-123.420442999415,102176,0,,Southbound East Saanich at McTavish
102177,Northbound East Saanich at McTavish,48.62961299514849,-123.420239000177,102177,0,,Northbound East Saanich at McTavish
102182,Southbound Kaltasin at Seabroom,48.3822419956197,-123.689986999764,102182,0,,Southbound Kaltasin at Seabroom
102183,Westbound Sooke at Kaltasin,48.387360995106704,-123.68871200029501,102183,0,,Westbound Sooke at Kaltasin
102184,Eastbound Sooke at Kaltasin,48.38723099538039,-123.68847699957401,102184,0,,Eastbound Sooke at Kaltasin
102186,Eastbound Andover at Copper Mine,48.36298848676329,-123.678545648551,102186,0,,Eastbound Andover at Copper Mine
102188,Northbound Lochside at Bakerview,48.6327699955907,-123.408969000125,102188,0,,Northbound Lochside at Bakerview
102189,Southbound Kaltasin at Sooke,48.3865369951012,-123.68789799967401,102189,0,,Southbound Kaltasin at Sooke
102190,Southbound Lochside at Bakerview,48.6328119958986,-123.40910599950502,102190,0,,Southbound Lochside at Bakerview
102191,Southbound West Saanich at North Ridge,48.627069995796,-123.45809899967601,102191,0,,Southbound West Saanich at North Ridge
102194,Northbound West Saanich at North Ridge,48.6276745354036,-123.45788618940601,102194,0,,Northbound West Saanich at North Ridge
102195,Northbound Copper Mine at Andover,48.3637549957025,-123.678868000584,102195,0,,Northbound Copper Mine at Andover
